Name,Cuisine,Location,Service Method,Does Curbside Pick-Up?,Address,City,Zip Code,Region,Hours,Phone,Website,details
Bear Republic Brewing Co.,American,Rohnert Park,Takeout,No,5000 Roberts Lake Rd.,Rohnert Park,N/A,North Bay,Noon-8 p.m. Wednesday-Sunday,707-585-2722,www.bearrepublic.com,Call and press 0 to order to-go.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Beit Rima,"Arabic, Middle Eastern",Duboce Triangle (S.F.),Delivery & Takeout,No,138 Church St.,San Francisco,N/A,San Francisco,"11 a.m.-3 p.m., 5-10 p.m. Tuesday-Thursday; 11 a.m.-3 p.m., 5-11 p.m. Friday and Saturday; 11 a.m.-3 p.m., 5-9:30 p.m. Sunday",415-703-0270,www.beitrimasf.com,$100 minimum for delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Belcampo,American,Larkspur,Delivery & Takeout,No,2405 Larkspur Landing Cir.,Larkspur,N/A,North Bay,All day,415-448-5810,ordering.belcampo.com/en/onlineorder/belcampo,Free delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Belcampo,American,Lower Haight  (S.F.),Delivery & Takeout,No,55 Webster St.,Oakland,N/A,East Bay,All day,510-281-0998,ordering.belcampo.com/en/onlineorder/belcampo,Free delivery.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Belcampo,American,San Mateo,Delivery & Takeout,No,4 Hillsdale Mall,San Mateo,N/A,Peninsula,4-9 p.m. Monday-Friday; 11 a.m.-8 p.m. Saturday and Sunday,650-294-4354,www.belcampo.com/restaurant/hillsdale/,Offering free delivery on restaurant menu items and butcher shop meats through its mobile app.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bellanico Restaurant and Wine Bar,Italian,Oakland,Delivery & Takeout,Yes,4238 Park Blvd.,Oakland,N/A,East Bay,5:30-8 p.m. Tuesday-Thursday and Sunday; 5:30-8:30 p.m. Friday and Saturday,510-336-1180,www.bellanico.net,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bellini Bistro,Italian,Foster City,Delivery & Takeout,No,1465 Beach Park Blvd.,Foster City,N/A,Peninsula,4-8 p.m. Monday-Sunday,650-315-2999,www.bistrobellini.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Belly Good Crepes,Crepes,Fillmore (S.F.),Takeout,No,"1737 Post St., Ste. 393",San Francisco,N/A,San Francisco,Noon-5 p.m Monday-Sunday,415-346-8383,belly-good-cafe-and-crepes.cafes-city.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Belotti Ristorante,Italian,Rockridge (Oak),Takeout,No,5403 College Ave.,Oakland,N/A,East Bay,12-8 p.m. Monday-Saturday,510-788-7890,www.belottirb.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Ben Tre,Vietnamese,South San Francisco,Takeout,No,398 Grand Ave.,South San Francisco,N/A,Peninsula,10 a.m.-8 p.m. daily,650-952-2243,www.bentrerestaurant.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Benihana,Japanese,Japantown (S.F.),Delivery & Takeout,Yes,"1737 Post St., #350",San Francisco,N/A,San Francisco,11 a.m.-9 p.m. daily,415-563-4844,www.benihana.com/locations/sanfrancisco-ca-sf/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Beque Korean Grill,Korean,Japantown (S.F.),Takeout,No,"1825 Post St., #145",San Francisco,N/A,San Francisco,11:30 a.m.-2:30 p.m. 4:30-11 p.m. Monday-Thursday; 11:30-12 a.m. Friday and Saturday; 11:30 a.m.-11 p.m. Sunday,415-872-9868,www.bequekoreangrill.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Beretta,Italian,Mission (S.F.),Delivery & Takeout,Yes,1199 Valencia St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-695-1199,www.berettas.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Berliner Berliner,Sausages,Duboce Triangle (S.F.),Takeout,No,545 Haight St.,San Francisco,N/A,San Francisco,11:30 a.m.-8 p.m. daily,415-795-1457,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bernal Star,"American, Pizza",Bernal Heights,Delivery & Takeout,No,410 Cortland Ave.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-695-8777,www.bernalstar.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Besharam,Indian,Potrero Hill (S.F.),Takeout,No,1275 Minnesota St.,San Francisco,N/A,San Francisco,noon-8 p.m. Tuesday-Saturday,415-580-7662,www.besharamrestaurant.com,Call for curbside pick-up.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Beta Lounge,American,Berkeley,Takeout,Yes,2129 Durant Ave.,Berkeley,N/A,East Bay,11 a.m.-7 p.m. daily,510-845-3200,betalounge.xyz,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bevri,Georgian,Palo Alto,Delivery & Takeout,Yes,540 Bryant St.,Palo Alto,N/A,Peninsula,11:30 a.m.-8 p.m. Monday-Sunday,650-384-6500,www.bevri.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Beyond Burma,Burmese,Lower Nob Hill (S.F.),Delivery,No,700 Post St.,San Francisco,N/A,San Francisco,11:30 a.m.-2:45 p.m.; 5-9:30 p.m. daily,415-775-1512,www.beyondburma.com/,Also offering free delivery direct by the restaurant for the minimum order of $150 or more.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bierhaus,German,Walnut Creek,Delivery & Takeout,Yes,1360 Locust St.,Walnut Creek,N/A,East Bay,4-8:30 p.m. daily,925-278-1364,www.bierha.us/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Big Lantern,Chinese,Mission (S.F.),Delivery & Takeout,No,3170 16th St.,San Francisco,N/A,San Francisco,10:30 a.m.-11 p.m. daily,415-863-8100,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bini's Kitchen,Nepalese,SoMa (S.F),Takeout,Yes,1001 Howard St.,San Francisco,N/A,San Francisco,10 a.m.-1 p.m. Monday-Friday,415-361-6911,www.biniskitchen.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bird Dog,American,Palo Alto,Takeout,No,420 Ramona St.,Palo Alto,N/A,Peninsula,5-9 p.m. Monday-Friday,650-656-8180,www.birddogpa.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Birdsong,"Fried Chicken, American",Mission (S.F.),Delivery & Takeout,No,1085 Mission St.,San Francisco,N/A,San Francisco,6-9 p.m. Tuesday-Saturday,414-217-9484,www.birdsongsf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bistro SF Grill,American,Noe Valley (S.F.),Takeout,Yes,1305 Castro St.,San Francisco,N/A,San Francisco,"11 a.m.-7 p.m., Monday-Sunday",415-409-6410,www.bistrosfgrill.com/,Meals are sold at cost to support the community ($5.50). Call to find out what's available from a daily rotating menu of selections.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Black Bear Diner,American,Milpitas,Delivery & Takeout,No,174 W. Calaveras Blvd.,Milpitas,N/A,South Bay,8 a.m.-8 p.m. daily,408-946-2327,www.blackbeardiner.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Black Bear Diner,American,Sunnyvale,Delivery & Takeout,No,415 E. El Camino Real,Sunnyvale,N/A,South Bay,8 a.m.-8 p.m. daily,408-749-1100,www.blackbeardiner.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Black Sugar - Boba Bar,Bubble Tea,Tenderloin (S.F.),Delivery & Takeout,No,320 O'Farrell St.,San Francisco,N/A,San Francisco,"11:30 a.m.-6 p.m. Tuesday-Thursday, Noon-6 p.m. Friday-Sunday",415-521-2022,www.blacksugarboba.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Blaze Pizza,Pizza,Parkmerced (S.F.),Delivery & Takeout,No,3251 20th Ave.,San Francisco,N/A,San Francisco,11 a.m.-9 p.m. Monday-Saturday; 11 a.m.-7 p.m. Sunday,415-573-0548,www.blazepizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Blaze Pizza,Pizza,Pleasanton,Delivery & Takeout,No,4225 Rosewood Dr.,Pleasanton,N/A,East Bay,10:30 a.m.-9 p.m. Sunday-Thursday; 10:30 a.m.-10 p.m. Friday and Saturday,925-233-3323,www.blazepizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Blaze Pizza,Pizza,San Jose,Delivery & Takeout,No,5353 Almaden Expressway,San Jose,N/A,San Jose,11 a.m.-9 p.m. Monday-Saturday; 11 a.m.-7 p.m. Sunday,408-440-2307,www.blazepizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Blaze Pizza,Pizza,San Jose,Delivery & Takeout,No,685 #30 Coleman Ave.,San Jose,N/A,South Bay,11 a.m.-9 p.m. Monday-Saturday; 11 a.m.-7 p.m. Sunday,408-279-4648,www.blazepizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Blaze Pizza,Pizza,Fremont,Delivery & Takeout,No,43831 Pacific Commons Blvd.,Fremont,N/A,East Bay,11 a.m.-9 p.m. Monday-Saturday; 11 a.m.-7 p.m. Sunday,626-759-1822,www.blazepizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Blaze Pizza,Pizza,Concord,Delivery & Takeout,No,1110 Concord Ave.,Concord,N/A,East Bay,11 a.m.-9 p.m. Monday-Sunday,925-609-9960,www.blazepizza.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Blue Plate,American,Bernal Heights (S.F.),Delivery & Takeout,No,3218 Mission St.,San Francisco,N/A,San Francisco,5:30-9:30 p.m. Monday-Saturday; 5:30-9 p.m. Sunday,415-282-6777,www.blueplatesf.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bluebird Pizza,Pizza,San Leandro,Takeout,No,496 East 14th St.,San Leandro,N/A,East Bay,4-8 p.m. Wednesday-Thursday; 4-9 p.m. Friday; 3:30-8:30 p.m. Saturday; 2-8 p.m. Sunday,510-562-1199,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bob's Donuts,"Donuts, Coffee",Nob Hill (S.F.),Delivery & Takeout,No,1621 Polk St.,San Francisco,N/A,San Francisco,"All day, every day",415-776-3141,www.bobsdonutssf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bob's on Baker,"Donuts, Coffee",Panhandle (S.F.),Delivery & Takeout,No,601 Baker St.,San Francisco,N/A,San Francisco,7 a.m.-10 p.m. daily,415-815-2534,www.bobsdonutssf.com,Cash only.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bobby G’s Pizzeria,Pizza,Berkeley,Delivery & Takeout,No,2072 University Ave.,Berkeley,N/A,East Bay,Call for hours,510-665-8866,www.bobbygspizzeria.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Boho Restaurant,American,Marina (S.F),Delivery & Takeout,Yes,3321 Steiner St.,San Francisco,N/A,San Francisco,Noon-8 p.m. daily,415-374-7518,www.cafebohosf.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Boichik Bagels,Bagels,Berkeley,Takeout,No,3170 College Ave,Berkeley,N/A,East Bay,7:30 a.m.-2 p.m. Wednesday-Sunday,510-858-5189,www.boichikbagels.com/index.html,No cash. Ready-to-freeze packs of bagels available.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bon Appetikka,Indian,Noe Valley (S.F.),Delivery & Takeout,No,4166 24th St.,San Francisco,N/A,San Francisco,4-9:30 p.m. daily,415-648-4416,www.bonappetikka.us,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bon Nene,Japanese,Mission (S.F.),Takeout,No,2850 21st St.,San Francisco,N/A,San Francisco,Noon-8 p.m. Tuesday-Saturday,415-872-9332,www.bonnene.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonchon,"Korean, Fried Chicken",San Leandro,Delivery & Takeout,No,1275 Washington Ave.,San Leandro,N/A,East Bay,Lunch and dinner Wednesday-Monday,510-895-8119,www.grubhub.com/restaurant/bonchon-1275-washington-ave-san-leandro/1024213,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonchon,"Korean, Fried Chicken",South San Francisco,Delivery & Takeout,No,2278 Westborough Blvd. Ste. 208,South San Francisco,N/A,Peninsula,11:30 a.m.-9 p.m. Wednesday-Monday,650-636-4192,www.grubhub.com/restaurant/bonchon-chicken---ssf-2278-westborough-blvd-south-san-francisco/1083790,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonchon,"Korean, Fried Chicken",Sunnyvale,Delivery & Takeout,No,572 East El Camino Real,Sunnyvale,N/A,South Bay,11:30 a.m.-9 p.m. Wednesday-Monday,408-720-8689,www.grubhub.com/restaurant/bonchon-572-e-el-camino-real-sunnyvale/1949738,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonchon,"Korean, Fried Chicken",Mountain View,Delivery & Takeout,No,260 Castro St.,Mountain View,N/A,Peninsula,11:30 a.m.-9 p.m. Wednesday-Monday,650-282-5633,www.grubhub.com/restaurant/bonchon-260-castro-st-mountain-view/1710056,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonchon,"Korean, Fried Chicken",San Jose,Delivery & Takeout,Yes,1375 Blossom Hill Rd. 66,San Jose,N/A,South Bay,5-9 p.m. Monday-Tuesday; 11 a.m.-9 p.m. Wednesday-Sunday,408-677-4893,www.bonchon.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonehead's Texas BBQ,"BBQ, American",Lafayette,Delivery & Takeout,Yes,3422 Mt. Diablo Blvd.,Lafayette,N/A,East Bay,11 a.m.-7 p.m. Tuesday-Sunday,925-262-4227,www.boneheadsbbq.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonita Taqueria & Rotisserie,Mexican,Marina (S.F.),Delivery & Takeout,No,2257 Chestnut St.,San Francisco,N/A,San Francisco,11 a.m.-8:30 p.m. daily,415-801-5599,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonita Taqueria & Rotisserie,Mexican,Castro (S.F.),Takeout,No,3600 16th St.,San Francisco,N/A,San Francisco,11 a.m.-8:30 p.m. daily,415-552-2125,www.sfbonita.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bonito Poke,Hawaiian,N/A,Delivery & Takeout,No,701 Valencia st,San Francisco,N/A,San Francisco,11:45 a.m. 7:30 p.m. daily,415-533-5548,www.sleek.fyi/?loc=bp,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Boon Fly Cafe,American,Napa,Takeout,No,4048 Sonoma Hwy.,Napa,N/A,North Bay,7 a.m.-8 p.m. daily,707-299-4872,www.boonflycafe.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
BottleTaps,American,Pleasanton,Delivery & Takeout,No,3020 Bernal Ave. #160,Pleasanton,N/A,East Bay,11:30 a.m.-7:30 p.m. daily,925-399-8323,www.bottletaps.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bottom of the Fifth Sports Bar and Grill,American,Benicia,Takeout,Yes,498 Military East St.,Benicia,N/A,North Bay,"11 a.m., 9 p.m. Monday-Friday ; 9 a.m.-9 p.m. Saturday and Sunday",707-745-9949,www.bottom5th.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Boudin SF,American,Walnut Creek,Delivery & Takeout,No,"12 Broadway Lane, Ste. 1000",Walnut Creek,N/A,East Bay,11 a.m.-6 p.m. daily,925-935-4375,www.boudinbakery.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Boulettes Larder,Californian,Embarcadero (S.F.),Delivery & Takeout,No,1 Ferry Building #48,San Francisco,N/A,San Francisco,2-6 p.m. Friday; 8 a.m.-2 p.m. Saturday,415-399-1155,www.bouletteslarder.com,"Dinners and pantry items, like sourdough starter and stocks. Friday is pre-order only; deliveries only available on Saturdays. Order via info@bouletteslarder.com.",https://projects.sfchronicle.com/2020/restaurant-delivery/
Boulevard Burgers,American,San Leandro,Takeout,No,1027 MacArthur Blvd.,San Leandro,N/A,East Bay,11 a.m.-8 p.m. daily,510-632-3100,www.boulevardburger.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brass Bear Deli,Deli,Alamo,Delivery & Takeout,No,"190 Alamo Plaza, Ste. E",Alamo,N/A,East Bay,9 a.m.-6 p.m. Monday-Friday; 9 a.m.-5 p.m. Saturday-Sunday,925-820-4698,www.brassbeardeli.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bravo Taqueria,Mexican,Redwood City,Takeout,Yes,980 Woodside Rd.,Redwood City,N/A,Peninsula,11 a.m.-9 p.m. Tuesday-Saturday,650-364-3511,N/A,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brazilian Bread,Brazilian,Berkeley,Delivery & Takeout,No,1707 Solano Ave.,Berkeley,N/A,East Bay,9 a.m.-5 p.m. daily,510-229-6362,www.brazilianbreads.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Breadbelly,Bakery,Richmond (S.F.),Delivery & Takeout,No,1408 Clement St.,San Francisco,N/A,San Francisco,8 a.m.-4 p.m. everyday but Tuesday,415-349-0969,breadbelly-llc.square.site/,Pastry assortment boxes only,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brenda's Meat & Three,Southern,NoPa (S.F.),Delivery & Takeout,No,919 Divisadero St.,San Francisco,N/A,San Francisco,8 a.m.-8 p.m. daily,415-926-8657,www.brendasmeatandthree.com/,Caviar or call,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brenda's Oakland,"American, Southern, Fried Chicken",Piedmont (Oak),Delivery & Takeout,No,4045 Broadway #101,Oakland,N/A,East Bay,8 a.m.-8 p.m. daily,510-929-0510,www.brendasoakland.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brickhouse,American,SoMa (S.F.),Delivery & Takeout,No,426 Brannan St.,San Francisco,N/A,San Francisco,11 a.m.-3 p.m. daily,415-369-0222,www.brickhousesf.com,Drive-thru.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bridgehead Cage,American,Antioch,Takeout,Yes,2415 East 18th St.,Antioch,N/A,East Bay,8 a.m.-3 p.m. daily,925-757-4774,http://bridgehead-cafe.cafe-city.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brioche Bakery & Cafe,Bakery,Jackson Square (S.F.),Delivery & Takeout,No,210 Columbus Ave.,San Francisco,N/A,San Francisco,7 a.m.-3 p.m. daily,415-572-3858,www.briochecafe.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brisbane Lunch Truck,American,Brisbane,Takeout,Yes,3501 Bayshore Blvd.,Brisbane,N/A,Peninsula,11 a.m.-6 p.m. Monday-Friday,415-660-6320,www.brisbanelunchtruck.com,Text and phone ordering accepted.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Broadway Masala,Indian,Redwood City,Delivery & Takeout,No,2397 Broadway St.,Redwood City,N/A,Peninsula,"Lunch, 11:30 a.m.-2 p.m. daily Dinner, 5-9:30 p.m. Sunday-Thursday Dinner, 5-10 p.m.",650-369-9000,www.broadwaymasala.net/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brotzeit Lokal,German,Oakland,Delivery & Takeout,No,1000 Embarcadero,Oakland,N/A,East Bay,Noon-8 p.m. daily,510-645-1905,www.brotzeitbiergarten.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Brown Chicken Brown Cow,"American, Sandwiches",Campbell,Delivery & Takeout,No,397 East Campbell Ave.,Campbell,N/A,South Bay,Noon-6 p.m. daily,408-340-5916,www.brownchicken-browncow.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Buckeye Roadhouse,American,Mill Valley,Takeout,No,15 Shoreline Hwy.,Mill Valley,N/A,North Bay,Noon-7 p.m. daily,415-990-2013,www.buckeyeroadhouse.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Buena Vista Cafe,"Irish, American",Fisherman's Wharf (S.F.),Takeout,Yes,2765 Hyde St.,San Francisco,N/A,San Francisco,11 a.m.-8 p.m. daily,415-474-5044,www.thebuenavista.com/home/home.html,Check Instagram for the rotating six-item menu.,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bun Appetit Donuts,Donuts,Fremont,Takeout,No,"37120 Fremont Blvd., Ste. A",Fremont,N/A,East Bay,7 a.m.-6 p.m. daily,510-565-1292,www.bunappetitdonuts.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bun Bao,Chinese,Fremont,Delivery,No,40839 Fremont Blvd.,Fremont,N/A,East Bay,"All day, every day",510-573-0672,www.bunbao.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Bungalow 44,California,Mill Valley,Delivery & Takeout,No,44 E. Blithedale Ave.,Mill Valley,N/A,North Bay,5-8 p.m. daily,415-381-2500,www.bungalow44.com/,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Burma Club,Burmese,SoMa (S.F.),Delivery & Takeout,No,8 Mint Plaza,San Francisco,N/A,San Francisco,Dinner Monday-Saturday,415-764-4965,www.burmainc.com/burma-superstar-1,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Burma Love,Burmese,Mission Dolores (S.F.),Delivery & Takeout,No,211 Valencia St.,San Francisco,N/A,San Francisco,Lunch and dinner daily,415-861-2100,www.burmainc.com/burma-love,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Burma Superstar,Burmese,Alameda,Delivery & Takeout,No,1345 Park St.,Alameda,N/A,East Bay,"11:30 a.m.-2 p.m., 5-8:30 p.m. Sunday-Thursday; 11:30 a.m.-2 p.m., 5-9 p.m. Friday and Saturday",510-522-6200,www.burmainc.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Burma Superstar,Burmese,Temescal (Oak),Delivery & Takeout,No,4721 Telegraph Ave.,Oakland,N/A,East Bay,"11:30 a.m.-2 p.m., 5-9 p.m. Sunday-Thursday; 11:30 a.m.-2 p.m., 5-9:30 p.m. Friday and Saturday",510-652-2900,www.burmainc.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
Burma Superstar,Burmese,Richmond (S.F.),Delivery & Takeout,No,309 Clement St.,San Francisco,N/A,San Francisco,"11:30 a.m.-3 p.m., 5-9:30 p.m. Sunday-Thursday; 11:30 a.m.-2 p.m., 5-10 p.m. Friday and Saturday",415-387-2147,www.burmainc.com,N/A,https://projects.sfchronicle.com/2020/restaurant-delivery/
